PlayerName,TeamAbbr,JerseyNumber,Position,persistence,persistence_steps,last_digit_of_persistence_list
Saddiq Bey,NOP,41,Guard-Forward,1,"[41, 4]",4
Sidy Cissoko,POR,91,Guard,1,"[91, 9]",9
Jakob Poeltl,TOR,19,Center,1,"[19, 9]",9
Cameron Johnson,DEN,23,Forward,1,"[23, 6]",6
DaRon Holmes II,DEN,14,Forward,1,"[14, 4]",4
Tre Jones,CHI,30,Guard,1,"[30, 0]",0
Collin Murray-Boyles,TOR,12,Forward,1,"[12, 2]",2
Brandon Williams,DAL,10,Guard,1,"[10, 0]",0
Derik Queen,NOP,22,Center,1,"[22, 4]",4
Naji Marshall,DAL,13,Forward,1,"[13, 3]",3
Miles Kelly,DAL,14,Guard,1,"[14, 4]",4
Eli John Ndiaye,ATL,30,Forward,1,"[30, 0]",0
Caleb Martin,DAL,16,Forward,1,"[16, 6]",6
Daniel Gafford,DAL,21,Forward-Center,1,"[21, 2]",2
John Collins,LAC,20,Forward-Center,1,"[20, 0]",0
Ryan Kalkbrenner,CHA,11,Center,1,"[11, 1]",1
Ja'Kobe Walter,TOR,14,Guard,1,"[14, 4]",4
Klay Thompson,DAL,31,Guard,1,"[31, 3]",3
Kyrie Irving,DAL,11,Guard,1,"[11, 1]",1
Tim Hardaway Jr.,DEN,10,Guard-Forward,1,"[10, 0]",0
Zeke Nnaji,DEN,22,Forward-Center,1,"[22, 4]",4
Nikola Jokić,DEN,15,Center,1,"[15, 5]",5
Tidjane Salaün,CHA,31,Forward,1,"[31, 3]",3
Jonas Valančiūnas,DEN,17,Center,1,"[17, 7]",7
Karlo Matković,NOP,17,Forward-Center,1,"[17, 7]",7
Yves Missi,NOP,21,Center,1,"[21, 2]",2
Trey Alexander,NOP,23,Guard,1,"[23, 6]",6
Spencer Jones,DEN,21,Forward,1,"[21, 2]",2
Moussa Cisse,DAL,30,Center,1,"[30, 0]",0
Jalen Pickett,DEN,24,Guard,1,"[24, 8]",8
Josh Green,CHA,10,Guard,1,"[10, 0]",0
Chaz Lanier,DET,20,Guard,1,"[20, 0]",0
Garrett Temple,TOR,17,Guard-Forward,1,"[17, 7]",7
Keon Ellis,SAC,23,Guard,1,"[23, 6]",6
Julian Champagnie,SAS,30,Forward,1,"[30, 0]",0
Jamal Shead,TOR,23,Guard,1,"[23, 6]",6
Maxime Raynaud,SAC,42,Center,1,"[42, 8]",8
Daniss Jenkins,DET,24,Guard,1,"[24, 8]",8
Aaron Gordon,DEN,32,Forward,1,"[32, 6]",6
Harrison Barnes,SAS,40,Forward,1,"[40, 0]",0
Georges Niang,UTA,31,Forward,1,"[31, 3]",3
Tobias Harris,DET,12,Forward,1,"[12, 2]",2
Brandon Miller,CHA,24,Forward,1,"[24, 8]",8
Svi Mykhailiuk,UTA,10,Guard-Forward,1,"[10, 0]",0
Seth Curry,CHA,30,Guard,1,"[30, 0]",0
Ayo Dosunmu,CHI,11,Guard,1,"[11, 1]",1
Ace Bailey,UTA,19,Forward,1,"[19, 9]",9
Zach Collins,CHI,12,Forward-Center,1,"[12, 2]",2
Elijah Harkless,UTA,16,Guard,1,"[16, 6]",6
Kevin Huerter,CHI,13,Guard-Forward,1,"[13, 3]",3
Matas Buzelis,CHI,14,Forward,1,"[14, 4]",4
Julian Phillips,CHI,15,Forward,1,"[15, 5]",5
Noa Essengue,CHI,24,Forward,1,"[24, 8]",8
Kyle Filipowski,UTA,22,Center,1,"[22, 4]",4
John Tonje,UTA,17,Guard,1,"[17, 7]",7
Walter Clayton Jr.,UTA,13,Guard,1,"[13, 3]",3
Cooper Flagg,DAL,32,Forward,1,"[32, 6]",6
Jordan Hawkins,NOP,24,Guard,1,"[24, 8]",8
Walker Kessler,UTA,24,Center,1,"[24, 8]",8
Aaron Nesmith,IND,23,Guard-Forward,1,"[23, 6]",6
De'Andre Hunter,CLE,12,Forward-Guard,1,"[12, 2]",2
Jett Howard,ORL,13,Guard,1,"[13, 3]",3
Kevin Love,UTA,42,Forward-Center,1,"[42, 8]",8
Drew Eubanks,SAC,19,Forward-Center,1,"[19, 9]",9
Draymond Green,GSW,23,Forward,1,"[23, 6]",6
Tari Eason,HOU,17,Forward,1,"[17, 7]",7
Stephen Curry,GSW,30,Guard,1,"[30, 0]",0
Trayce Jackson-Davis,GSW,32,Forward,1,"[32, 6]",6
Clint Capela,HOU,30,Center,1,"[30, 0]",0
Jaden Ivey,DET,23,Guard,1,"[23, 6]",6
Ochai Agbaji,TOR,30,Guard,1,"[30, 0]",0
Mason Plumlee,CHA,22,Forward-Center,1,"[22, 4]",4
Darius Garland,CLE,10,Guard,1,"[10, 0]",0
Jeff Green,HOU,32,Forward,1,"[32, 6]",6
Chucky Hepburn,TOR,24,Guard,1,"[24, 8]",8
Dennis Schröder,SAC,17,Guard,1,"[17, 7]",7
Bismack Biyombo,SAS,18,Center,1,"[18, 8]",8
Quinten Post,GSW,21,Center,1,"[21, 2]",2
Isaiah Stevens,SAC,24,Guard,1,"[24, 8]",8
Steven Adams,HOU,12,Center,1,"[12, 2]",2
Jase Richardson,ORL,11,Guard,1,"[11, 1]",1
Reed Sheppard,HOU,15,Guard,1,"[15, 5]",5
Pat Spencer,GSW,61,Guard,1,"[61, 6]",6
Dario Šarić,SAC,20,Forward-Center,1,"[20, 0]",0
Devin Carter,SAC,22,Guard,1,"[22, 4]",4
Jusuf Nurkić,UTA,30,Center,1,"[30, 0]",0
Devin Vassell,SAS,24,Guard-Forward,1,"[24, 8]",8
Domantas Sabonis,SAC,11,Forward-Center,1,"[11, 1]",1
Alex Toohey,GSW,22,Forward,1,"[22, 4]",4
Cole Anthony,MIL,50,Guard,1,"[50, 0]",0
Tyson Etienne,BKN,10,Guard,1,"[10, 0]",0
Dylan Cardwell,SAC,32,Center,1,"[32, 6]",6
Javonte Green,DET,31,Guard,1,"[31, 3]",3
Jabari Smith Jr.,HOU,10,Forward,1,"[10, 0]",0
Jimmy Butler III,GSW,10,Forward,1,"[10, 0]",0
Keegan Murray,SAC,13,Forward,1,"[13, 3]",3
Ron Harper Jr.,BOS,13,Guard-Forward,1,"[13, 3]",3
Jeremy Sochan,SAS,10,Forward,1,"[10, 0]",0
Johni Broome,PHI,22,Forward,1,"[22, 4]",4
Eric Gordon,PHI,23,Guard,1,"[23, 6]",6
Leonard Miller,MIN,33,Forward,1,"[33, 9]",9
Terance Mann,BKN,14,Guard-Forward,1,"[14, 4]",4
Tyrese Martin,BKN,13,Forward,1,"[13, 3]",3
Russell Westbrook,SAC,18,Guard,1,"[18, 8]",8
Johnny Furphy,IND,12,Guard,1,"[12, 2]",2
Payton Pritchard,BOS,11,Guard,1,"[11, 1]",1
Koby Brea,PHX,14,Guard,1,"[14, 4]",4
Jay Huff,IND,32,Center,1,"[32, 6]",6
Micah Peavy,NOP,14,Guard-Forward,1,"[14, 4]",4
Tony Bradley,IND,13,Center-Forward,1,"[13, 3]",3
Al Horford,GSW,20,Center-Forward,1,"[20, 0]",0
Josh Okogie,HOU,20,Guard,1,"[20, 0]",0
Carter Bryant,SAS,11,Forward,1,"[11, 1]",1
Gui Santos,GSW,15,Forward,1,"[15, 5]",5
Collin Gillespie,PHX,12,Guard,1,"[12, 2]",2
Isaiah Jackson,IND,22,Forward,1,"[22, 4]",4
Sam Hauser,BOS,30,Forward,1,"[30, 0]",0
Nique Clifford,SAC,5,Guard,0,[5],5
Doug McDermott,SAC,7,Forward,0,[7],7
Malik Monk,SAC,0,Guard,0,[0],0
Tristan Vukcevic,WAS,0,Forward,0,[0],0
Cam Whitmore,WAS,1,Forward,0,[1],1
Taylor Hendricks,UTA,0,Forward,0,[0],0
Kyle Anderson,UTA,2,Forward-Guard,0,[2],2
Keyonte George,UTA,3,Guard,0,[3],3
Quentin Grimes,PHI,5,Guard,0,[5],5
Andre Drummond,PHI,1,Center,0,[1],1
Paul George,PHI,8,Forward,0,[8],8
Isaiah Collier,UTA,8,Guard,0,[8],8
Kyle Lowry,PHI,7,Guard,0,[7],7
Jayson Tatum,BOS,0,Forward-Guard,0,[0],0
Kelly Oubre Jr.,PHI,9,Forward-Guard,0,[9],9
Wendell Moore Jr.,DET,9,Guard,0,[9],9
Craig Porter Jr.,CLE,9,Guard,0,[9],9
Sam Merrill,CLE,5,Guard,0,[5],5
Josh Minott,BOS,8,Forward,0,[8],8
Anfernee Simons,BOS,4,Guard,0,[4],4
Evan Mobley,CLE,4,Center,0,[4],4
E.J. Liddell,BKN,9,Forward,0,[9],9
Jaylen Brown,BOS,7,Guard-Forward,0,[7],7
Chris Livingston,CLE,8,Forward,0,[8],8
Damian Lillard,POR,0,Guard,0,[0],0
Scoot Henderson,POR,0,Guard,0,[0],0
Cody Williams,UTA,5,Forward,0,[5],5
Kelly Olynyk,SAS,8,Forward-Center,0,[8],8
Jalen Green,PHX,4,Guard,0,[4],4
Deni Avdija,POR,8,Forward,0,[8],8
Gradey Dick,TOR,1,Guard-Forward,0,[1],1
Caleb Love,POR,2,Guard,0,[2],2
CJ McCollum,WAS,3,Guard,0,[3],3
AJ Johnson,WAS,4,Guard,0,[4],4
Tyrese Maxey,PHI,0,Guard,0,[0],0
Malaki Branham,WAS,8,Forward,0,[8],8
De'Aaron Fox,SAS,4,Guard,0,[4],4
Dillon Brooks,PHX,3,Guard-Forward,0,[3],3
Ryan Dunn,PHX,0,Forward,0,[0],0
Grayson Allen,PHX,8,Guard,0,[8],8
Royce O'Neale,PHX,0,Forward,0,[0],0
Devin Booker,PHX,1,Guard,0,[1],1
Justin Champagnie,WAS,9,Guard-Forward,0,[9],9
Zach LaVine,SAC,8,Guard,0,[8],8
Jerami Grant,POR,9,Forward,0,[9],9
Matisse Thybulle,POR,4,Guard-Forward,0,[4],4
Victor Wembanyama,SAS,1,Forward-Center,0,[1],1
Dylan Harper,SAS,2,Guard,0,[2],2
Keldon Johnson,SAS,3,Forward-Guard,0,[3],3
Blake Wesley,POR,1,Guard,0,[1],1
Bub Carrington,WAS,7,Guard,0,[7],7
A.J. Lawson,TOR,0,Guard,0,[0],0
Jrue Holiday,POR,5,Guard,0,[5],5
Brandon Ingram,TOR,3,Forward,0,[3],3
Precious Achiuwa,SAC,9,Forward,0,[9],9
Jacob Toppin,ATL,0,Forward,0,[0],0
Jamal Cain,ORL,8,Forward,0,[8],8
Isaac Jones,DET,3,Forward,0,[3],3
Jalen Duren,DET,0,Center,0,[0],0
Peyton Watson,DEN,8,Guard,0,[8],8
Tamar Bates,DEN,7,Guard,0,[7],7
Hunter Tyson,DEN,5,Forward,0,[5],5
Julian Strawther,DEN,3,Guard,0,[3],3
Jamir Watkins,WAS,5,Forward,0,[5],5
Jonathan Mogbo,TOR,2,Forward,0,[2],2
Ryan Nembhard,DAL,9,Guard,0,[9],9
Dwight Powell,DAL,7,Forward-Center,0,[7],7
D'Angelo Russell,DAL,5,Guard,0,[5],5
Anthony Davis,DAL,3,Forward-Center,0,[3],3
Dereck Lively II,DAL,2,Center,0,[2],2
Jaden Hardy,DAL,1,Guard,0,[1],1
Danté Exum,DAL,0,Guard,0,[0],0
Max Christie,DAL,0,Guard,0,[0],0
Cade Cunningham,DET,2,Guard,0,[2],2
Stephon Castle,SAS,5,Guard,0,[5],5
Bilal Coulibaly,WAS,0,Guard,0,[0],0
Nick Richards,PHX,2,Center,0,[2],2
Luke Kornet,SAS,7,Center-Forward,0,[7],7
Aaron Holiday,HOU,0,Guard,0,[0],0
Kevon Harris,HOU,0,Guard,0,[0],0
De'Anthony Melton,GSW,8,Guard,0,[8],8
Buddy Hield,GSW,7,Guard,0,[7],7
Moses Moody,GSW,4,Guard,0,[4],4
Will Richard,GSW,3,Guard,0,[3],3
Brandin Podziemski,GSW,2,Guard,0,[2],2
Jonathan Kuminga,GSW,1,Forward,0,[1],1
Gary Payton II,GSW,0,Guard,0,[0],0
Dorian Finney-Smith,HOU,2,Forward,0,[2],2
Amen Thompson,HOU,1,Guard-Forward,0,[1],1
Ausar Thompson,DET,9,Guard-Forward,0,[9],9
JD Davison,HOU,4,Guard,0,[4],4
Jordan McLaughlin,SAS,0,Guard,0,[0],0
Paul Reed,DET,7,Forward,0,[7],7
Ronald Holland II,DET,5,Forward,0,[5],5
Christian Braun,DEN,0,Guard,0,[0],0
Kevin Durant,HOU,7,Forward,0,[7],7
Curtis Jones,DEN,1,Guard,0,[1],1
RJ Barrett,TOR,9,Forward-Guard,0,[9],9
Scottie Barnes,TOR,4,Forward-Guard,0,[4],4
Immanuel Quickley,TOR,5,Guard,0,[5],5
Caris LeVert,DET,8,Guard,0,[8],8
