PlayerName,TeamAbbr,JerseyNumber,Position,persistence,persistence_steps,last_digit_of_persistence_list
Duop Reath,POR,26,Center,2,"[26, 12, 2]",2
Wendell Carter Jr.,ORL,34,Center-Forward,2,"[34, 12, 2]",2
Goga Bitadze,ORL,35,Center-Forward,2,"[35, 15, 5]",5
Donovan Mitchell,CLE,45,Guard,2,"[45, 20, 0]",0
Mikal Bridges,NYK,25,Guard-Forward,2,"[25, 10, 0]",0
Kenrich Williams,OKC,34,Guard-Forward,2,"[34, 12, 2]",2
Landry Shamet,NYK,44,Guard,2,"[44, 16, 6]",6
Guerschon Yabusele,NYK,28,Forward,2,"[28, 16, 6]",6
Chris Boucher,BOS,99,Forward,2,"[99, 81, 8]",8
Dominick Barlow,PHI,25,Forward,2,"[25, 10, 0]",0
Trey Murphy III,NOP,25,Forward,2,"[25, 10, 0]",0
Hunter Sallis,PHI,45,Guard,2,"[45, 20, 0]",0
Rocco Zikarsky,MIN,44,Center,2,"[44, 16, 6]",6
Enrique Freeman,MIN,25,Forward,2,"[25, 10, 0]",0
Drew Timme,LAL,26,Forward,2,"[26, 12, 2]",2
Andre Jackson Jr.,MIL,44,Guard,2,"[44, 16, 6]",6
Thanasis Antetokounmpo,MIL,43,Forward,2,"[43, 12, 2]",2
Pete Nance,MIL,35,Forward,2,"[35, 15, 5]",5
Giannis Antetokounmpo,MIL,34,Forward,2,"[34, 12, 2]",2
Alex Antetokounmpo,MIL,29,Forward,2,"[29, 18, 8]",8
Davion Mitchell,MIA,45,Guard,2,"[45, 20, 0]",0
Kasparas Jakučionis,MIA,25,Guard,2,"[25, 10, 0]",0
John Konchar,MEM,46,Guard,2,"[46, 24, 8]",8
GG Jackson,MEM,45,Forward,2,"[45, 20, 0]",0
